id;name;title;link;method;auth_key;showed;parent
1;Corporate;framework Frozen;Research feed Lead;1080p Comp;leverage non-volatile generate;true;41639
2;migration;user-facing empower matrix;asymmetric;convergenc;Berkshire payment standardizat;true;97293
3;Operations;AI Fresh;Soft Polarised override;Toys parsi;Legacy utilize Car;true;94981
4;IB;Home Berkshire structure;Vatu;index;Cambridgeshire Response increm;true;34006
5;Books;SQL unleash architect;yellow Steel;New Berksh;Organic;true;89204
6;Open-architected Brand Awesome;grey;Awesome;synergisti;Metrics;false;63565
7;efficient Electronics sky;Bacon;Zealand;Industrial;Viaduct Table synthesizing;false;81685
8;Investor Agent;quantifying Ukraine Car;grey Intelligent input;Account;Louisiana;false;71638
9;Visionary;standardization compressing;solutions Metal granular;Borders cl;Bahraini deposit Clothing;true;62670
10;PCI repurpose;approach embrace;Loan Armenia Mobility;Maryland S;Rubber;true;99418
